SiteRoom,Site,Room,Est__Cut_Date,Actual_Cut_Date,Est__Replant_Date,Actual_Replant_Date,Est__Flower_Date,Actual_Flower_Date,Est__Harvest_Date,Actual_Harvest_Date,Est__Dry_Date,Actual_Dry_Date,Est__Ship_Avail__Date,Actual_Ship_Avail__Date,Est__FGI_Date,Actual_Trim_Completion_Date,Turn_Status,Brand,Strain_Commercialization_Status,Strain_Accession_Number,Strain_Name,Strain_Code,No__Plants,Canopy_Alloc_____,Canopy_Alloc___ft_2_,Est__Yield__g_ft_2_,Turn_Round,Turn_No_,Harvest_Batch_No_,Est__Wet_Weight__lbs_,Est__LTB__lbs_,Est__STB__lbs_,Est__T__lbs_,Est__MTB__lbs_,Est__FF__lbs_,Est__Ship__Avail__Month,Act__Wet_Weight__lbs_,Act__LTB__lbs_,Act__STB__lbs_,Act__T__lbs_,Act_MTB__lbs_,Act__FF__lbs_,Act__Ship__Avail__Month,Adj__LTB__lbs_,Adj__STB__lbs_,Adj__T__lbs_,Adj__MTB__lbs_,Adj__FF__lbs_,Performance_Notes,Forecast_LTB_Ingest,Forecast_STB_Ingest,Forecast_T_Ingest,Forecast_MTB_Ingest,Forecast_FF_Ingest,Forecast_Harvest_Date,Forecast_Harvest_Month,Forecast_Ship_Avail__Date,Forecast_Ship_Avail__Month,Forecast_FGI_Date,Forecast_FGI_Month,Forecast_FGI_Week,Waste_Weight,Change_Tracker
FL-02,FL,2,9/9/2022,9/9/2022,10/17/2022,10/17/2022,10/18/2022,10/17/2022,12/20/2022,12/20/2022,1/1/2023,1/1/2023,1/19/2023,2/2/2023,2/14/2023,2/2/2023,Ship Available,Alien Labs,,,Biskanté,BSK,226,0.166666667,723.8333333,30,2,FL-02-02/2022,FL-02-122022-BSK,,47.87341928,15.95780643,35.10717414,,0,2023-01,711.5726872,33.96047549,0,0,,0,2023-02,33.96047549,0,0,,0,,33.96047549,0,0,,0,12/20/2022,2022-12,2/2/2023,2023-02,2/14/2023,2023-02,2/13/2023,94401,1
FL-02,FL,2,9/9/2022,9/9/2022,10/17/2022,10/17/2022,10/18/2022,10/17/2022,12/20/2022,12/20/2022,1/1/2023,1/1/2023,1/19/2023,2/7/2023,2/19/2023,2/7/2023,Ship Available,Alien Labs,,,Area 41,A41,226,0.166666667,723.8333333,30,2,FL-02-02/2022,FL-02-122022-A41,,47.87341928,12.76624514,23.93670964,,0,2023-01,403.4515419,0,0,0,,0,2023-02,0,0,0,,0,,0,0,0,,0,12/20/2022,2022-12,2/7/2023,2023-02,2/19/2023,2023-02,2/13/2023,71907,1
FL-02,FL,2,9/9/2022,9/9/2022,10/17/2022,10/17/2022,10/18/2022,10/17/2022,12/20/2022,12/20/2022,1/1/2023,1/1/2023,1/19/2023,1/19/2023,1/31/2023,1/19/2023,Ship Available,Alien Labs,,,Atomic Apple,AA,226,0.166666667,723.8333333,30,2,FL-02-02/2022,FL-02-122022-AA,,47.87341928,12.76624514,30.31983221,,0,2023-01,659.2180617,54.19077056,16.89998942,27.79987301,,0,2023-01,54.19077056,16.89998942,27.79987301,,0,,54.19077056,16.89998942,27.79987301,,0,12/20/2022,2022-12,1/19/2023,2023-01,1/31/2023,2023-01,1/30/2023,90667,1
FL-02,FL,2,9/9/2022,9/9/2022,10/17/2022,10/17/2022,10/18/2022,10/17/2022,12/20/2022,12/20/2022,1/1/2023,1/1/2023,1/19/2023,1/23/2023,2/4/2023,1/23/2023,Ship Available,Connected,,,Biscotti,BIS,226,0.166666667,723.8333333,30,2,FL-02-02/2022,FL-02-122022-BIS,,47.87341928,9.574683857,30.31983221,,0,2023-01,609.6629956,46.57070671,15.50291892,24.87918658,,0,2023-01,46.57070671,15.50291892,24.87918658,,0,,46.57070671,15.50291892,24.87918658,,0,12/20/2022,2022-12,1/23/2023,2023-01,2/4/2023,2023-02,1/30/2023,82234,1
FL-02,FL,2,9/9/2022,9/9/2022,10/17/2022,10/17/2022,10/18/2022,10/17/2022,12/20/2022,12/20/2022,1/1/2023,1/1/2023,1/19/2023,1/26/2023,2/7/2023,1/26/2023,Ship Available,Connected,,,Guava 2.0,GV2,226,0.166666667,723.8333333,30,2,FL-02-02/2022,FL-02-122022-GV2,,47.87341928,9.574683857,27.12827093,,0,2023-01,553.8105727,41.01064393,24.59699466,25.60450802,,0,2023-01,41.01064393,24.59699466,25.60450802,,0,,41.01064393,24.59699466,25.60450802,,0,12/20/2022,2022-12,1/26/2023,2023-01,2/7/2023,2023-02,2/6/2023,87816,1
FL-02,FL,2,9/9/2022,9/9/2022,10/17/2022,10/17/2022,10/18/2022,10/17/2022,12/20/2022,12/20/2022,1/1/2023,1/1/2023,1/19/2023,1/30/2023,2/11/2023,1/30/2023,Ship Available,Connected,,,Gushers,GUS,226,0.166666667,723.8333333,30,2,FL-02-02/2022,FL-02-122022-GUS,,47.87341928,9.574683857,30.31983221,,0,2023-01,597.6740088,44.18067338,0,24.19795764,,0,2023-01,44.18067338,0,24.19795764,,0,,44.18067338,0,24.19795764,,0,12/20/2022,2022-12,1/30/2023,2023-01,2/11/2023,2023-02,2/6/2023,87140,1
AZ-02,AZ,2,9/25/2022,9/30/2022,10/25/2022,10/28/2022,10/31/2022,10/30/2022,1/2/2023,1/3/2023,1/12/2023,1/12/2023,1/25/2023,1/25/2023,2/6/2023,,Ship Available,Connected,,,Gelato 41,G41,135,0.5,390,46,1,AZ-02-01/2023,AZ-02-010323-G41,,39.5509621,11.17744581,50.72840791,,0,2023-01,305.6629956,60.63,6.446527876,4.661828629,,0,,60.63,6.446527876,4.661828629,,0,,60.63,6.446527876,4.661828629,,0,1/3/2023,2023-01,1/25/2023,2023-01,2/6/2023,2023-02,2/6/2023,122.58,2
AZ-02,AZ,2,9/25/2022,9/30/2022,10/25/2022,10/28/2022,10/31/2022,10/30/2022,1/2/2023,1/3/2023,1/12/2023,1/12/2023,1/25/2023,1/25/2023,2/6/2023,,Ship Available,Alien Labs,,,Biskanté,BSK,135,0.5,390,46,1,AZ-02-01/2023,AZ-02-010323-BSK,,39.5509621,11.17744581,50.72840791,,0,2023-01,307.8931718,62.99686312,7.117239195,7.852667887,,0,,62.99686312,7.117239195,7.852667887,,0,,62.99686312,7.117239195,7.852667887,,0,1/3/2023,2023-01,1/25/2023,2023-01,2/6/2023,2023-02,2/6/2023,107.99,2
AZ-09,AZ,9,9/25/2022,9/30/2022,10/25/2022,10/28/2022,10/31/2022,10/30/2022,1/2/2023,1/3/2023,1/12/2023,1/12/2023,1/25/2023,1/25/2023,2/6/2023,,Ship Available,Alien Labs,,,Xeno,XEN,150,0.5,609.5,42,1,AZ-09-01/2023,AZ-09-010323-XEN,,56.43618053,14.78090443,67.18592921,,0,2023-01,288.7665198,54.17099289,3.556595805,6.444680065,,0,,54.17099289,3.556595805,6.444680065,,0,,54.17099289,3.556595805,6.444680065,,0,1/3/2023,2023-01,1/25/2023,2023-01,2/6/2023,2023-02,2/6/2023,88.02,3
AZ-09,AZ,9,9/25/2022,9/30/2022,10/25/2022,10/28/2022,10/31/2022,10/30/2022,1/2/2023,1/3/2023,1/12/2023,1/12/2023,1/25/2023,1/25/2023,2/6/2023,,Ship Available,Alien Labs,,,Atomic Apple,AA,150,0.5,609.5,42,1,AZ-09-01/2023,AZ-09-010323-AA,,56.43618053,14.78090443,67.18592921,,0,2023-01,392.1475771,43.62,9.521342538,40.24439093,,0,,43.62,9.521342538,40.24439093,,0,,43.62,9.521342538,40.24439093,,0,1/3/2023,2023-01,1/25/2023,2023-01,2/6/2023,2023-02,2/6/2023,118.37,3
FP-07,FP,7,9/24/2022,9/28/2022,10/27/2022,10/29/2022,11/1/2022,11/1/2022,1/3/2023,1/3/2023,1/13/2023,1/13/2023,1/20/2023,,2/1/2023,1/25/2023,Harvested,Connected,,,Rainbow Sherbert #11,RS11,120,0.5,351,19,1,FP-07-01/2023,FP-07-010323-RS11,,14.70264026,5.4167622,15.47646343,,0,2023-01,330.7046861,24.85493571,5.330781848,18.93992839,,0,,24.85493571,5.330781848,18.93992839,,0,,24.85493571,5.330781848,18.93992839,,0,1/3/2023,2023-01,1/20/2023,2023-01,2/1/2023,2023-02,1/30/2023,0,4
